number,message
70,"Здравствуйте, как я могу изменить адрес электронной почты, связанный с аккаунтом?"
73,"Приветствую! Мне нужно изменить адрес электронной почты, связанный с моим аккаунтом. Как я могу это сделать? Желательно, чтобы процесс был максимально прост и быстр."
74,"доброго времени суток! я платил за подписку, но она не сработала. хотелось бы вернуть деньги обратно."
76,"Добрый день, я случайно оформил подписку и хочу ее отменить. Пожалуйста, помогите вернуть мне деньги."
81,"Приветствую, у меня была куплена подписка на этот месяц, но на моем аккаунте она так и не отобразилась. Что мне делать в этой ситуации?"
82,"добрый вечер, я хочу отключить автопродление подписки. как это сделать, чтоб не списывались деньги?"
84,"Добрый вечер, я случайно активировал подписку, но не хочу использовать ваш сервис. Пожалуйста, верните мне деньги."
85,хочу удалить аккаунт
87,"Здравствуйте! Пару дней назад оформила у вас подписку на месяц, так как осталась довольна перефразированием текста. Все работало хорошо, однако сегодня весь день сайт выдает сбой у провайдера. Хотелось бы побыстрее закончить свою работу. Очень надеюсь на оперативное решение проблемы. Спасибо!"
88,"Привет, хочу удалить свой аккаунт."
89,"Добрый день, я не удовлетворен качеством вашего сервиса и хотел бы отменить подписку. Как получить деньги обратно?"
91,"Здравствуйте, как я могу выйти из своего аккаунта? Не вижу соответствующей опции на странице. Хочу быть уверен, что мой аккаунт не остается открытым на общедоступном компьютере."
92,"привет, случайно активировал подписку и теперь не знаю, как ее отменить. помогите, плиз!"
93,"Здравствуйте.Произошло списание за подписку,599 руб.Забыла отменить автопродление подписки. В ней больше не нуждаюсь. Просьба вернуть деньги !"
97,"Здравствуйте, мне было обещано определенное количество услуг в рамках подписки, но я не получил их. Я хочу отказаться от подписки и получить полный возврат средств."
99,"Добрый день, я был подписан на вашу услугу без моего разрешения. Я хочу отказаться от подписки и получить полный возврат средств."
106,Привет! Я неудачно подписался на вашу услугу и хочу отказаться от нее. Я могу рассчитывать на возврат средств?
107,"Здравствуйте, как я могу зайти в свою учетную запись на другом компьютере?"
108,"привет! подскажите, можно ли оформить подписку на ваш сервис и оплатить ее через систему рассрочки или кредит?"
115,Здравствуйте! Я хочу зайти в свою учетную запись на другом компьютере. Как мне это сделать? Нужны ли мне какие-то особые данные или настройки?
116,"Доброго дня! Скажите, авторизация в кабинет работает только через ""временный пароль на email"" или можно установить постоянный пароль для входа?"
117,"Здравствуйте,у меня сняли деньги за подписку,прошу вернуть средства так как продление подписки не было согласовано со мной, я не нажимала нигде чтобы подписка продлилась автоматически. Прошу вернуть мои 499₽"
122,Хочу вернуть деньги за подписку на месяц. Сервис не работает. Кнопка уникальности врёт.
124,"Здравствуйте, я уже несколько раз пытался сбросить пароль, но система не отправляет мне письмо с инструкциями. Я беспокоюсь о безопасности моего аккаунта. Прошу помощи в данном вопросе."
125,как отключить подписку?
126,Приветствую! Я случайно активировал подписку и не могу ее отменить. Не могли бы вы помочь мне с возвратом средств?
127,"Привет, мне нужно удалить свой аккаунт. Как мне это сделать?"
130,"здравствуйте, у меня была подписка куплена на этот месяц, за 24.04 пришел чек, но подписки на этом аккаунте так и не отобразилась. что делать?"
131,"здравствуйте, я случайно активировал пробную подписку, а она мне не нужна. можно вернуть деньги?"
134,Сегодня списали деньги. Но я не хочу больше пользоваться подпиской. Просьба вернуть деньги и отключить подписку!
135,Как зайти в эту программу на другом компьютере. Какой мой логин и пароль?
140,Добрый день! Хотел бы удалить свой аккаунт. Какую процедуру я должен пройти для полного удаления всех моих данных?
144,"Привет, как я могу сделать так, чтобы подписка не продлевалась автоматически?"
145,"Здравствуйте, оплатил подписку, а она не активизировалась. Просит снова преобрести подписку для использования услуг сайта"
148,"Здравствуйте, я не хочу, чтобы у меня списывались деньги в следующий месяц. Как я могу удалить свою карту и отменить подписку?"
149,"Привет! Можете рассказать мне о лимитах, существующих в бесплатной версии аккаунта? Хочу знать, что я могу делать и на что я ограничен."
150,"Здравствуйте! Я уже несколько раз пытался войти в свой аккаунт, но каждый раз получаю ошибку ""Неверное имя пользователя или пароль"". Что за фигня происходит? Неужели вы не можете сделать нормальную авторизацию?"
156,"Привет! Я случайно продлил подписку на вашу услугу, но мне не нужно ее использовать. Пожалуйста, верните мне деньги."
157,"Здравствуйте, я потерял доступ к аккаунту, но деньги все равно были списаны за подписку. Я могу рассчитывать на возврат?"
160,"Привет, я забыл свой логин и пароль. Как мне их восстановить?"
161,"Здравствуйте, я не был уведомлен о продлении подписки и не хочу платить за услугу, которую больше не использую. Хотелось бы вернуть деньги."
164,"я авторизовался, а сайт до сих пор пишет, что я превысил лимит"
165,"здравствуйте, не хочу продолжать использовать вашу подписку. можно отменить и вернуть деньги?"
166,"Добрый день, я уже отменил подписку, но мои деньги все равно были списаны. Как я могу получить возврат?"
169,"Добрый день! Подскажите, имеется ли у вас в платной подписке доступ к API? Если да, какие установлены лимиты и есть ли документация? Спасибо."
170,"Добрый день! У нас закончились лимиты, а до следующего месяца еще долго ждать (4 апреля). Подскажите я могу оплатить снова подписку ($10) и таким образом обновить лимиты в рамках данного аккаунта или мне нужно регистрировать новый аккаунт?"
173,"Приветствую! Я был подписан на вашу услугу автоматически, но не хочу продолжать использовать ее. Как мне вернуть оплату?"
174,Как выйти из аккаунта?
175,Привет! я не хочу больше платить за эту подписку. как ее отменить и деньги вернуть?
