number,message
40,"Привет! Я новый пользователь вашего сервиса и хотел бы узнать, есть ли возможность увеличить лимиты символов или запросов за определенный период времени? Мне потребуется больше ресурсов для обработки текстов и я хотел бы узнать, как это можно сделать."
42,Здравствуйте! Как я могу автоматически извлечь ключевые фразы из большого объема текста с помощью вашего сервиса?
43,"Приветствую! Я уже потратил столько времени, пытаясь сделать что-то на вашем сайте, но ничего не работает как надо. Это просто бред! Надеюсь, вы почините эту дерьмовую систему."
44,"Здравствуйте, у меня тут проблема с вашим сервисом. Он глючит постоянно, и это меня бесит. Когда наконец вы исправите эту дерьмовую ошибку?"
46,добрый день! можно ли оплатить сервис через мобильное приложение вашей компании?
48,"Ничего не работает, в правой стороне пишет тотже текст, что и влево"
52,"Добрый день! Скажите, каким образом в следующий раз можно будет оплатить сервис по безналу через юрлицо?"
56,"привет! я оплатила подписку, но не получила доступ к сервису. могли бы вы вернуть мои деньги?"
57,"Добрый день! Я активный пользователь вашего сервиса и очень доволен его функциональностью. Однако, хотелось бы узнать, какие лимиты установлены на количество символов или запросов для каждого типа задач? Я хочу понять, как оптимально использовать сервис в рамках этих ограничений."
61,"Добрый день! Я преподаватель и ищу инструмент, который поможет моим студентам автоматически проверять тексты на орфографические и грамматические ошибки. Подскажите, есть ли у вашего сервиса функция проверки текста на ошибки и предоставления рекомендаций по исправлению?"
68,"Здравствуйте, я случайно продлил подписку на ваш сервис. Могу ли я отменить ее и вернуть деньги?"
72,Добрый день. Планирую использовать Ваш сервис. Есть вопросы: Какой максимальной длины текст можно отправить на суммаризацию за 1 раз? Есть ли API для суммаризации? Заранее спасибо.
77,почему не работает программа в чем причина?
78,"Привет, у вас тут полный бардак! Функции, которые должны работать, вообще не функционируют. Я потратил кучу времени, пытаясь разобраться, но безуспешно. Когда вы собираетесь исправить все эти глюки и баги?"
83,"Добрый день, ваше обновление поломало функционал! То, что раньше работало отлично, теперь вызывает ошибки и некорректное отображение. Когда вы исправите этот баг и вернете все в порядок?"
84,"Добрый вечер, я случайно активировал подписку, но не хочу использовать ваш сервис. Пожалуйста, верните мне деньги."
86,Привет! Как мне использовать ваш сервис для сжатия текстовых документов в формате PDF? Это возможно?
87,"Здравствуйте! Пару дней назад оформила у вас подписку на месяц, так как осталась довольна перефразированием текста. Все работало хорошо, однако сегодня весь день сайт выдает сбой у провайдера. Хотелось бы побыстрее закончить свою работу. Очень надеюсь на оперативное решение проблемы. Спасибо!"
89,"Добрый день, я не удовлетворен качеством вашего сервиса и хотел бы отменить подписку. Как получить деньги обратно?"
90,"Добрый день, сервис обходит антиплагиат.ру и антиплагиат.вуз?"
95,"Привет! Я не знаю, что за хрень происходит, но ваш сайт работает как говно. Я пытаюсь сделать простую операцию, а он валится с ошибкой. Ну серьезно, когда вы наконец почините эту дерьмовую штуку?"
101,добрый день! можно ли оплатить сервис через банковский чек или перевод с расчетного счета?
102,"Привет! Мне интересно, можно ли использовать ваш сервис для автоматического создания заголовков статей или новостей? Я работаю в издательской компании и подобная функция помогла бы нам значительно сэкономить время и улучшить эффективность работы."
103,"привет, есть вопрос. зачем мне ограничение по запросам? могу я просто использовать сервис сколько угодно?"
104,"здравствуйте! подскажите, можно ли оплатить ваш сервис через международный банковский перевод?"
108,"привет! подскажите, можно ли оформить подписку на ваш сервис и оплатить ее через систему рассрочки или кредит?"
109,Почему сервис периодически зависает и я вынужден тратить дополнительные символы на перефразирование одного и того же текста и тратить свое время на последующее его редактирование
111,"Здравствуйте! Я прочитал о ваших лимитах использования сервиса, и меня интересует, можно ли расширить эти лимиты, чтобы мои возможности были больше. Есть ли у вас возможность предоставить пользовательские планы с дополнительными лимитами?"
112,доброго времени суток! есть ли у вас опции оплаты через мобильные операторы или сервисы мобильной связи?
114,"Здравствуйте! Забыла свой пароль, а где его восстановить - не вижу. Подскажите, пожалуйста. Сервис нравится, хотелось бы пользоваться постоянно. С уважением, Виолетта."
116,"Доброго дня! Скажите, авторизация в кабинет работает только через ""временный пароль на email"" или можно установить постоянный пароль для входа?"
119,"добрый день! есть ли возможность оплатить сервис с помощью электронных платежных систем, таких как WebMoney или Yandex.Money?"
120,привет! можно ли оплатить ваш сервис с помощью банковского перевода?
121,"Здравствуйте, при использовании определенной функции сервис выдает ошибку ""Не удалось сохранить изменения"". Это мешает мне выполнить необходимые действия. Необходимо исправить этот баг."
122,Хочу вернуть деньги за подписку на месяц. Сервис не работает. Кнопка уникальности врёт.
123,доброго времени суток! можно ли оплатить ваш сервис через SMS-платежи?
128,"Доброго времени суток! Я занимаюсь исследовательской работой и нуждаюсь в инструменте, который поможет мне категоризировать большие объемы текстовой информации по ключевым темам. Есть ли у вашего сервиса функция автоматической классификации текстов?"
136,"Добрый день, я очень разочарован вашим сервисом. Это просто бардак! Я не могу сделать даже самые простые вещи из-за ваших ошибок. Когда вы исправите все эти говно-баги?"
137,"Приветствую! Я воспользовался вашим сервисом, но он не отвечает моим ожиданиям. Функционал неудобный, интерфейс запутанный, а скорость работы ужасная. Я рассчитывал на качественный продукт, но получил полный провал. Разочарован!"
138,"Здравствуйте, сервис периодически выдает ошибку 500 ""Внутренняя ошибка сервера"". Это создает неудобства при работе. Пожалуйста, исправьте эту проблему."
142,"Здравствуйте, я уже несколько раз обращался в службу поддержки с проблемой, но так и не получил должного решения. Ваш сервис непригоден к использованию, и я требую полного возврата денег. Это абсолютно неприемлемо!"
146,Не очень понял как грузить в левую колонку документы. У меня много материала в pdf формате Хотел прогнать через сервис суммаризации для ускорения работы. Но не понимаю пока как это сделать. Это возможно?
147,"Доброго времени суток! Ваш сервис полный отстой. Каждый раз, когда я пытаюсь сделать что-то, он лагает и выдает ошибку. Это просто пипец! Вам нужно нанять нормальных программистов или закрыть этот бардак!"
152,"Привет, уже несколько дней у меня возникает проблема с загрузкой файлов на вашем сервисе. Они просто не загружаются и происходит сбой. Пожалуйста, проверьте и исправьте эту ошибку."
154,"Приветствую! Я восхищаюсь вашим сервисом, но у меня возник вопрос о лимитах. Скажите, существуют ли какие-либо ограничения на количество запросов в день или в час? Или же я могу использовать сервис без ограничений?"
155,"Здравствуйте! Я работаю в качестве PR-менеджера и предлагаю сотрудничество с вашей компанией. Мы можем организовать партнерскую программу, которая поможет увеличить вашу видимость и привлечь новых клиентов. Если вас интересует возможность партнерства, я готов обсудить детали и предоставить вам дополнительную информацию."
158,"привет! можно ли оплатить ваш сервис с помощью криптовалюты, например, Bitcoin или Ethereum?"
159,Приветствую! Есть ли у вашего сервиса функция автоматической классификации текстов по ключевым темам?
162,"Привет! Почему ваш сервис так медленно работает? Я теряю кучу времени из-за задержек при загрузке страниц и выполнении операций. Пожалуйста, ускорьте его работу или я буду вынужден искать альтернативные решения."
167,"Здравствуйте! Меня интересует, какие лимиты установлены для использования вашего сервиса в рамках бесплатной версии. Я хотел бы понять, сколько символов или запросов я могу обработать, чтобы эффективно планировать свою работу. Если есть возможность расширить эти лимиты, я также хотел бы узнать об этом."
171,"Привет, я тут уже столько времени потратил, пытаясь разобраться с вашим сервисом. Все у вас поломано! Я пишу вам, чтобы вы починили эту хрень и вернули мне мои нервы!"
172,"Не работает сервис. Уже несколько часов написано, что скоро все решат."
